Наименование;Цена;Цена без скидки;Страна производитель;Размеры;Состав;Изображения;Ссылка
"ДЕТСКАЯ ПОДУШКА ""ХЛОПОК"" 40*60";9 600 ТГ.;-;"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""419BF716193E1ABC4D831786D42F27E3_element_159"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""419BF716193E1ABC4D831786D42F27E3_element_160"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""419BF716193E1ABC4D831786D42F27E3_element_161"")>";['https://tamish.kz/image/cache/catalog/color/photo_5211079341042154768_m-444x400.jpg', 'https://tamish.kz/image/cache/catalog/color/photo_5211079341042154767_y-444x400.jpg'];http://tamish.kz/index.php?route=product/product&product_id=1037
"ДЕТСКАЯ ПОДУШКА ""ХЛОПОК"" 40*60";9 600 ТГ.;-;"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""289E07FC0F75130E5E4A778EBFC9DBB1_element_260"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""289E07FC0F75130E5E4A778EBFC9DBB1_element_261"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""289E07FC0F75130E5E4A778EBFC9DBB1_element_262"")>";['https://tamish.kz/image/cache/catalog/color/photo_5211079341042154768_m-444x400.jpg', 'https://tamish.kz/image/cache/catalog/color/photo_5211079341042154767_y-444x400.jpg'];http://tamish.kz/index.php?route=product/product&product_id=1037
КРУГ КУХОННОЕ ВАФЕЛЬНОЕ ПОЛОТЕНЦЕ;1 250 ТГ.;-;"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""08DEA40756851A618729271B1B307D39_element_327"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""08DEA40756851A618729271B1B307D39_element_328"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""08DEA40756851A618729271B1B307D39_element_329"")>";['https://tamish.kz/image/cache/catalog/IMG_7280-444x400.jpg'];http://tamish.kz/tovari-uslugi/polotenca/polotenca-kuxonoe/krug_kuxonnoe_vafelnoe_polotence
"ПОЛОТЕНЦЕ БАННОЕ ""ЛОТОС"" 70*140";2 800 ТГ.;-;"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""D80848632438F4CBAF2670BD05ABD381_element_474"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""D80848632438F4CBAF2670BD05ABD381_element_475"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""D80848632438F4CBAF2670BD05ABD381_element_476"")>";['https://tamish.kz/image/cache/catalog/Komplekt/2022-08-17%2013.03.56-444x400.JPG', 'https://tamish.kz/image/cache/catalog/color/2022-08-17%2013.04.07-444x400.JPG'];http://tamish.kz/tovari-uslugi/polotenca/polotenca-bannoe?product_id=784
"ДЕТСКАЯ ПОДУШКА ""ХЛОПОК"" 40*60";9 600 ТГ.;-;"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""BAADA19369ED57C5331E6AC408D35036_element_570"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""BAADA19369ED57C5331E6AC408D35036_element_571"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""BAADA19369ED57C5331E6AC408D35036_element_572"")>";['https://tamish.kz/image/cache/catalog/color/photo_5211079341042154768_m-444x400.jpg', 'https://tamish.kz/image/cache/catalog/color/photo_5211079341042154767_y-444x400.jpg'];http://tamish.kz/index.php?route=product/product&product_id=1037
"ДЕТСКАЯ ПОДУШКА ""ХЛОПОК"" 40*60";9 600 ТГ.;-;"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""C6A85168C15048F755D4B1F295F99B8B_element_667"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""C6A85168C15048F755D4B1F295F99B8B_element_668"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""C6A85168C15048F755D4B1F295F99B8B_element_669"")>";['https://tamish.kz/image/cache/catalog/color/photo_5211079341042154768_m-444x400.jpg', 'https://tamish.kz/image/cache/catalog/color/photo_5211079341042154767_y-444x400.jpg'];http://tamish.kz/index.php?route=product/product&product_id=1037
"ДЕТСКАЯ ПОДУШКА ""ХЛОПОК"" 40*60";9 600 ТГ.;-;"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""6B2CD53B529D8B0048F1801E4F9F834F_element_764"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""6B2CD53B529D8B0048F1801E4F9F834F_element_765"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""6B2CD53B529D8B0048F1801E4F9F834F_element_766"")>";['https://tamish.kz/image/cache/catalog/color/photo_5211079341042154768_m-444x400.jpg', 'https://tamish.kz/image/cache/catalog/color/photo_5211079341042154767_y-444x400.jpg'];http://tamish.kz/index.php?route=product/product&product_id=1037
НАБОР ПОЛОТЕНЕЦ PHILLIPUS 2В1;11 900 ТГ.;13 900 тг.;"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""191674386F595354ED476C78B7C4F1BC_element_907"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""191674386F595354ED476C78B7C4F1BC_element_908"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""191674386F595354ED476C78B7C4F1BC_element_909"")>";['https://tamish.kz/image/cache/catalog/Navolochki/2021-12-14%2014.11.57-444x400.JPG', 'https://tamish.kz/image/cache/catalog/WhatsApp%20Image%202018-03-30%20at%2011.19.55-444x400.jpeg', 'https://tamish.kz/image/cache/catalog/WhatsApp%20Image%202018-03-30%20at%2011.19.55%281%29-444x400.jpeg'];http://tamish.kz/tovari-uslugi/polotenca/polotencr-licevoe?product_id=788
СИЛВЕР КОВРИК 100Х150;11 200 ТГ.;-;"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""8245A31A39BD4DA295F806EFF5FF2AD0_element_1032"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""8245A31A39BD4DA295F806EFF5FF2AD0_element_1033"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""8245A31A39BD4DA295F806EFF5FF2AD0_element_1034"")>";['https://tamish.kz/image/cache/catalog/IMG_7921-444x400.jpg'];http://tamish.kz/tovari-uslugi/kovriki/cilver_kovrik_100x150
КОМПЛЕКТ МАНЕЖНОГО БЕЛЬЯ САБИ;8 500 ТГ.;-;"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""F829EDFF1F6746A9B050FB2CFE13B05C_element_1260"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""F829EDFF1F6746A9B050FB2CFE13B05C_element_1261"")>";"<selenium.webdriver.remote.webelement.WebElement (session=""71165c5b530d4b6132fc95cc2e7df1de"", element=""F829EDFF1F6746A9B050FB2CFE13B05C_element_1262"")>";['https://tamish.kz/image/cache/catalog/kuxna/photo5451880500718319958-444x400.jpg'];http://tamish.kz/tovari-uslugi/komplekt-postelnogo-belya/komplekt_manezhnogo_bely_cabi
